iter	Passed	Remaining
0	145	145445
1	147	73399
2	148	49407
3	149	37284
4	150	30015
5	151	25154
6	152	21691
7	153	19089
8	154	17065
9	155	15443
10	157	14120
11	158	13017
12	159	12107
13	160	11326
14	162	10644
15	163	10032
16	163	9481
17	164	9000
18	165	8563
19	166	8173
20	167	7822
21	168	7497
22	169	7201
23	170	6927
24	171	6684
25	172	6456
26	174	6282
27	175	6107
28	177	5928
29	177	5754
30	178	5592
31	179	5442
32	181	5312
33	182	5190
34	183	5067
35	184	4950
36	186	4842
37	190	4828
38	191	4727
39	193	4632
40	194	4540
41	196	4473
42	197	4393
43	198	4313
44	199	4233
45	202	4190
46	203	4125
47	204	4056
48	205	3989
49	206	3924
50	207	3861
51	208	3799
52	209	3743
53	210	3690
54	211	3636
55	212	3583
56	213	3532
57	215	3500
58	216	3459
59	218	3419
60	219	3376
61	220	3333
62	221	3290
63	222	3254
64	223	3217
65	224	3181
66	225	3146
67	227	3111
68	229	3091
69	231	3070
70	232	3040
71	233	3006
72	234	2975
73	235	2944
74	236	2914
75	237	2884
76	238	2854
77	239	2825
78	240	2798
79	241	2775
80	243	2762
81	245	2746
82	246	2722
83	247	2698
84	248	2673
85	249	2650
86	250	2626
87	251	2605
88	252	2587
89	253	2565
90	254	2544
91	255	2524
92	256	2504
93	258	2492
94	261	2488
95	262	2473
96	263	2457
97	265	2439
98	265	2420
99	266	2402
100	268	2389
101	269	2373
102	270	2358
103	272	2349
104	274	2340
105	275	2325
106	277	2313
107	278	2297
108	279	2281
109	280	2265
110	281	2251
111	282	2236
112	283	2222
113	284	2208
114	288	2220
115	290	2213
116	291	2198
117	292	2184
118	293	2172
119	294	2158
120	295	2147
121	296	2133
122	297	2120
123	298	2108
124	299	2098
125	303	2103
126	304	2092
127	306	2085
128	307	2074
129	307	2060
130	308	2048
131	309	2037
132	310	2026
133	311	2014
134	312	2003
135	313	1992
136	318	2006
137	320	2001
138	321	1991
139	323	1984
140	324	1975
141	324	1962
142	325	1952
143	326	1942
144	327	1931
145	328	1921
146	329	1911
147	331	1908
148	333	1905
149	334	1896
150	335	1888
151	336	1878
152	337	1868
153	338	1858
154	339	1849
155	340	1839
156	341	1831
157	342	1823
158	343	1814
159	347	1822
160	348	1817
161	349	1809
162	350	1801
163	351	1793
164	352	1784
165	353	1776
166	354	1768
167	355	1760
168	356	1753
169	357	1745
170	358	1737
171	363	1750
172	364	1744
173	367	1745
174	368	1738
175	369	1731
176	370	1724
177	371	1717
178	373	1711
179	374	1704
180	376	1705
181	379	1705
182	380	1700
183	381	1693
184	382	1686
185	383	1679
186	384	1673
187	385	1666
188	386	1660
189	387	1653
190	388	1646
191	391	1646
192	393	1646
193	394	1640
194	395	1633
195	396	1627
196	397	1620
197	398	1614
198	399	1607
199	400	1600
200	401	1594
201	402	1588
202	403	1582
203	404	1580
204	407	1579
205	409	1578
206	410	1572
207	411	1566
208	412	1560
209	413	1555
210	414	1549
211	415	1543
212	416	1538
213	417	1533
214	418	1527
215	422	1533
216	424	1530
217	425	1524
218	426	1519
219	427	1514
220	428	1508
221	429	1503
222	430	1498
223	431	1493
224	432	1488
225	433	1483
226	438	1492
227	440	1489
228	441	1485
229	442	1480
230	443	1475
231	444	1470
232	445	1465
233	446	1460
234	447	1456
235	448	1450
236	450	1451
237	451	1446
238	453	1443
239	454	1438
240	455	1434
241	456	1429
242	457	1424
243	458	1419
244	459	1414
245	460	1410
246	460	1405
247	461	1400
248	462	1396
249	464	1393
250	466	1393
251	467	1388
252	468	1384
253	469	1379
254	470	1374
255	471	1370
256	472	1365
257	473	1361
258	474	1357
259	475	1353
260	476	1350
261	477	1345
262	480	1346
263	481	1343
264	483	1341
265	484	1336
266	485	1332
267	486	1328
268	487	1324
269	488	1320
270	489	1316
271	490	1313
272	491	1309
273	492	1305
274	495	1306
275	497	1304
276	498	1301
277	499	1297
278	500	1293
279	501	1289
280	502	1284
281	503	1281
282	504	1277
283	504	1273
284	505	1269
285	507	1265
286	508	1263
287	510	1261
288	512	1260
289	513	1257
290	514	1253
291	515	1249
292	516	1246
293	517	1242
294	518	1239
295	519	1235
296	520	1232
297	521	1228
298	522	1224
299	526	1227
300	527	1225
301	528	1221
302	529	1217
303	530	1214
304	531	1210
305	532	1207
306	533	1203
307	534	1200
308	535	1196
309	536	1193
310	537	1189
311	540	1190
312	541	1187
313	543	1186
314	544	1183
315	545	1180
316	546	1177
317	547	1174
318	548	1171
319	549	1168
320	550	1165
321	551	1161
322	553	1159
323	555	1158
324	557	1156
325	557	1153
326	559	1150
327	559	1147
328	560	1143
329	561	1140
330	562	1137
331	563	1134
332	564	1131
333	565	1128
334	566	1124
335	568	1122
336	569	1120
337	570	1118
338	571	1114
339	572	1112
340	574	1109
341	574	1106
342	575	1103
343	576	1100
344	577	1097
345	578	1094
346	579	1091
347	583	1093
348	584	1091
349	586	1088
350	587	1085
351	588	1082
352	589	1080
353	590	1077
